,Ticker
1397,FLY.V
1398,FHZN.SW
1399,FFMH
1400,ELDO
1401,EKO.OL
1402,SOUL
1403,EBKDY
1404,DUNI.ST
1405,DNO.OL
1406,DFF
1407,USAE
1408,DANSKE.CO
1409,CSCO.BA
1410,CRZBY
1411,COME.BA
1412,COH.AX
1413,CITY
1414,CISAW
1415,CIG-C
1416,CHOPF
1417,SPX.AX
1418,ABHI
1419,CCLAY
1420,CAFO.PA
1421,CADTR
1422,CACGW
1423,BVB.DE
1424,BST
1425,BPTY.L
1426,BLD.AX
1427,BHIP.BA
1428,BEN.AX
1429,BEIJ-B.ST
1430,BCS-PD
1431,BCAUY
1432,BBVA.MC
1433,BAOXF
1434,BAMXY
1435,AZZEF
1436,AXS.L
1437,AXRX
1438,AXIM
1439,AXANF
1440,AVTS
1441,AVMXY
1442,AVBH
1443,AUTCF
1444,AUROPHARMA.NS
1445,AUMA
1446,AUE.TO
1447,AU8U.SI
1448,ATTBF
1449,ASX.AX
1450,ASR.TO
1451,ASCK
1452,ASAZY
1453,ARZGY
1454,ARWAU
1455,ARWAR
1456,ARNI
1457,ARNGF
1458,ARKAY
1459,ARGKF
1460,AREXMIS.BO
1461,AR.TO
1462,AQUA.OL
1463,APVS
1464,APO.V
1465,APNI
1466,APLN.JK
1467,APEOF
1468,ANZFF
1469,ANDAW
1470,ANDAR
1471,ANA.MC
1472,AMXL.MX
1473,AMTY
1474,AMTC
1475,AMSE
1476,AMSA
1477,AMS.MC
1478,AMRR
1479,AMP.AX
1480,AMKBY
1481,AMCO
1482,AMBK
1483,AMAR
1484,AMA.L
1485,ALXDF
1486,ALSMY
1487,ALO.L
1488,ALIOF
1489,ALGI
1490,ALALF
1491,AKVA
1492,AKT-B.TO
1493,AKER.OL
1494,AIQUY
1495,AIII
1496,AHRO
1497,AHNR
1498,AHF.TO
1499,AH.AS
1500,AGT.TO
1501,AGPPY
1502,AGM-A
1503,AGI.TO
1504,AGF-B.TO
1505,AGESY
1506,AFK.OL
1507,AF.TO
1508,ADW-A.TO
1509,ADV.TO
1510,ADRO.JK
1511,ADGL
1512,ADFT
1513,ACUG
1514,ACHI
1515,ACD.TO
1516,ABK-PC.TO
1517,ABEV3.SA
1518,ABE.MC
1519,ABCE
1520,AASP
1521,AAPL.SW
1522,AAPL.MX
1523,AAL.L
1524,AACAY
1525,AAC.V
1526,A23.SI
1527,5099.KL
1528,3DM.AX
1529,IIN.AX
1530,ZURVY
1531,YAL.AX
1532,ADCF
1533,XTD.AX
1534,WTR.AX
1535,WHLKY
1536,WFD.AX
1537,WDAS
1538,WCP.AX
1539,WBAPA.AX
1540,VLKPY
1541,VLKAF
1542,VELIN.AX
1543,VBG-B.ST
1544,UUL.AX
1545,USG.AX
1546,UOS.AX
1547,UCM.AX
1548,UBI.AX
1549,UATG
1550,TZN.AX
1551,TWE.AX
1552,TUIFF
1553,TPI.AX
1554,TPDKY
1555,TOTRF
1556,TMNSF
1557,TMC.TO
1558,TKGBY
1559,TGS.AX
1560,TEN.AX
1561,TELNY
1562,TARSF
1563,AMPW
1564,SZGPY
1565,ARYX
1566,SYIEF
1567,SWGAY
1568,SWGAF
1569,SVNLF
1570,STB.OL
1571,SSHIP.OL
1572,SPX.V
1573,SOO.AX
1574,KRA.AX
1575,SMA.L
1576,BTFL
1577,SKBSY
1578,SKA-B.ST
1579,SIQ.AX
1580,SIP.AX
1581,SHV.AX
1582,SEN.AX
1583,SDF.AX
1584,AIB.IR
1585,SBM.AX
1586,SAZ.DE
1587,SAUHF
1588,SAPA.DE
1589,SANWARIA.NS
1590,SAI.AX
1591,SAAB-B.ST
1592,RBX.AX
1593,RUSF.ST
1594,RO.SW
1595,RMS.PA
1596,RMP.L
1597,RMLXP
1598,RIS.AX
1599,RIO.AX
1600,RIGO.BA
1601,RCMFF
1602,RAD.DE
1603,PYC.AX
1604,PTBA.JK
1605,PSSR
1606,PSAHF
1607,PSA.AX
1608,PRDC
1609,PPTG
1610,PPT.AX
1611,PNE3.DE
1612,PNDZY
1613,PMV.AX
1614,AMFE
1615,PHM7.DE
1616,PGRD
1617,PGPHF
1618,AHIX
1619,PEXNY
1620,PEK.AX
1621,PDN.AX
1622,PBP.AX
1623,PBAM
1624,PAY.AX
1625,PAN.AX
1626,PACI
1627,OSR.DE
1628,ORKLY
1629,ORI.AX
1630,ORA.TO
1631,OPESY
1632,OPERA.OL
1633,OMVKY
1634,OFX.AX
1635,O4B.DE
1636,NVZMY
1637,NVZMF
1638,NVSEF
1639,NTM.AX
1640,NSP.AX
1641,NRK
1642,NOTE.ST
1643,NOMI.ST
1644,NOD.OL
1645,NOD.AX
1646,NLY-PA
1647,NIO.AX
1648,NIBE-B.ST
1649,NHF.AX
1650,NDX1.DE
1651,NAN
1652,NAF-UN.TO
1653,NABZY
1654,MYX.AX
1655,MYN.AX
1656,MURGY
1657,MQA.AX
1658,MOL.AX
1659,MOEX.ME
